コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
1377	サカタのタネ	未保有	対象外	4185	対象外	17.69	1.02	5.78	1.79	82.32	12.38	水産・農林業	📈【B】 2026/04/07 26/5期3Q決算。売上+9.43、純利益+11.24。通期営業利益125億円予想。 【ファンダメンタル確認値】現在値4185、PER17.69、PBR1.02、ROE5.78、配当利回り1.79、自己資本比率82.32、営業利益率12.38 【直近材料補強 2026/06/29】バリュエーション: PER17.69倍は中立圏。 クオリティ: ROE5.78%で資本効率改善待ち、自己資本比率82.32%で財務安全性高め。 セクター材料: 食料安全保障・円安/原材料価格・海外種苗需要がテーマ。天候/市況で短期変動しやすい。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=1377 / 株探決算:https://kabutan.jp/stock/finance?code=1377
1801	大成建設	未保有	対象外	13705	対象外	14.79	2.36	15.93	2.77	34.93	6.24	建設業	📈【B】 2026/05/14 26/3期決算。純利益+37.29、27/3期売上+15.84予想。 【ファンダメンタル確認値】現在値13705、PER14.79、PBR2.36、ROE15.93、配当利回り2.77、自己資本比率34.93、営業利益率6.24 【直近材料補強 2026/06/29】バリュエーション: PER14.79倍は中立圏。 クオリティ: ROE15.93%で資本効率は強め。 セクター材料: 国内インフラ更新・再開発・国土強靭化・大型工事採算改善がテーマ。資材/人件費高と受注採算を要確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=1801 / 株探決算:https://kabutan.jp/stock/finance?code=1801
1802	大林組	未保有	対象外	3202	対象外	14.02	1.75	12.48	2.94	40.03	7.53	建設業	📈【A】 2026/06/18 Multiplex社子会社化、2026/05/13 インドネシア高速道路事業者株式取得。 【ファンダメンタル確認値】現在値3202、PER14.02、PBR1.75、ROE12.48、配当利回り2.94、自己資本比率40.03、営業利益率7.53 【直近材料補強 2026/06/29】バリュエーション: PER14.02倍は中立圏。 クオリティ: ROE12.48%で資本効率は強め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 国内インフラ更新・再開発・国土強靭化・大型工事採算改善がテーマ。資材/人件費高と受注採算を要確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=1802 / 株探決算:https://kabutan.jp/stock/finance?code=1802
1911	住友林業	未保有	対象外	1375	対象外	8.87	0.81	9.13	3.64	39.84	7.44	建設業	📈【A】 2026/05/14 米Tri Pointe Homes株式取得完了、子会社化。 【ファンダメンタル確認値】現在値1375、PER8.87、PBR0.81、ROE9.13、配当利回り3.64、自己資本比率39.84、営業利益率7.44 【直近材料補強 2026/06/29】バリュエーション: PER8.87倍で利益面は割安寄り、PBR0.81倍でPBR1倍割れ改善余地。 株主還元: 配当利回り3.64%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 国内インフラ更新・再開発・国土強靭化・大型工事採算改善がテーマ。資材/人件費高と受注採算を要確認。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=1911 / 株探決算:https://kabutan.jp/stock/finance?code=1911
2009	鳥越製粉	未保有	対象外	1082	対象外	22.50	0.70	3.09	4.53	79.49	4.99	食料品	➖【C】 2026/05/11 1Q決算。高自己資本・高配当だがROE低め。 【ファンダメンタル確認値】現在値1082、PER22.50、PBR0.70、ROE3.09、配当利回り4.53、自己資本比率79.49、営業利益率4.99 【直近材料補強 2026/06/29】バリュエーション: PER22.5倍は中立圏、PBR0.7倍でPBR1倍割れ改善余地。 クオリティ: ROE3.09%で資本効率改善待ち、営業利益率4.99%で採算改善が課題、自己資本比率79.49%で財務安全性高め。 株主還元: 配当利回り4.53%で高配当候補。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2009 / 株探決算:https://kabutan.jp/stock/finance?code=2009
2031	ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ	未保有	対象外	8700	対象外	対象外	対象外	対象外	対象外	対象外	対象外	ETN	➖【C】 ETNのため企業ファンダメンタル指標は対象外。 【ファンダメンタル確認値】現在値8700、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】ETF/ETNのため企業ファンダメンタル指標は対象外 【直近材料補強 2026/06/29】次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2031 / 株探決算:https://kabutan.jp/stock/finance?code=2031
2127	日本Ｍ＆Ａセンターホールディングス	未保有	対象外	620	対象外	14.68	3.92	26.70	4.68	75.78	37.33	サービス業	📈【B】 2026/06/25 自己株式処分。高ROE・高配当。 【ファンダメンタル確認値】現在値620、PER14.68、PBR3.92、ROE26.70、配当利回り4.68、自己資本比率75.78、営業利益率37.33 【直近材料補強 2026/06/29】バリュエーション: PER14.68倍は中立圏、PBR3.92倍で資産面の割安感は薄い。 クオリティ: ROE26.7%で資本効率は強め、営業利益率37.33%で高収益、自己資本比率75.78%で財務安全性高め。 株主還元: 配当利回り4.68%で高配当候補。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2127 / 株探決算:https://kabutan.jp/stock/finance?code=2127
2177	ベンチャーリパブリック	未保有	対象外	1092	対象外	対象外	2.03	対象外	対象外	72.54	対象外	サービス業	➖【C】 現行上場/投資対象として要確認。過去情報中心。 【ファンダメンタル確認値】現在値1092、PER対象外、PBR2.03、ROE対象外、配当利回り対象外、自己資本比率72.54、営業利益率対象外 【直近材料補強 2026/06/29】クオリティ: 自己資本比率72.54%で財務安全性高め。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2177 / 株探決算:https://kabutan.jp/stock/finance?code=2177
2181	パーソルホールディングス	未保有	対象外	237	対象外	11.88	2.41	20.27	5.49	35.37	3.96	サービス業	📉【D】 2026/06/02 公取委による子会社立入検査。 【ファンダメンタル確認値】現在値237、PER11.88、PBR2.41、ROE20.27、配当利回り5.49、自己資本比率35.37、営業利益率3.96 【直近材料補強 2026/06/29】バリュエーション: PER11.88倍は中立圏。 クオリティ: ROE20.27%で資本効率は強め、営業利益率3.96%で採算改善が課題。 株主還元: 配当利回り5.49%で高配当候補。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2181 / 株探決算:https://kabutan.jp/stock/finance?code=2181
2193	クックパッド	未保有	対象外	116	対象外	11.25	0.68	5.75	0.00	90.84	4.95	サービス業	➖【C】 直近材料は決算・業績レビュー中心。大型の上方修正、増配、自社株買い、M&A等の強材料は調査範囲では見当たらず。【ファンダメンタル確認値】現在値116、PER11.25、PBR0.68、ROE5.75、配当利回り0.00、自己資本比率90.84、営業利益率4.95 【扱い】通常上場銘柄として継続比較対象。 【直近材料補強 2026/06/29】バリュエーション: PER11.25倍は中立圏、PBR0.68倍でPBR1倍割れ改善余地。 クオリティ: ROE5.75%で資本効率改善待ち、営業利益率4.95%で採算改善が課題、自己資本比率90.84%で財務安全性高め。 株主還元: 配当利回り0%で還元妙味は弱め、既存材料に明示的な還元関連の記載あり、継続性を確認。 直近イベント解釈: 上方修正/最高益系のポジティブ決算材料、M&A/提携による成長・再編材料。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2193 / 株探決算:https://kabutan.jp/stock/finance?code=2193
